Batter,Opponent,runs,balls_faced,innings,strike_rate
AK Markram,Sunrisers Hyderabad,128,100,4,128.0
AL Menaria,Chennai Super Kings,46,52,4,88.46
AL Menaria,Deccan Chargers,42,37,2,113.51
AL Menaria,Delhi Daredevils,25,21,3,119.05
AL Menaria,Kings XI Punjab,68,56,3,121.43
AL Menaria,Kochi Tuskers Kerala,31,28,1,110.71
AL Menaria,Kolkata Knight Riders,89,74,4,120.27
AL Menaria,Mumbai Indians,39,37,3,105.41
AL Menaria,Pune Warriors,47,43,2,109.3
AL Menaria,Royal Challengers Bengaluru,8,6,1,133.33
AM Ghazanfar,Rajasthan Royals,2,3,1,66.67
AM Nayar,Chennai Super Kings,146,99,8,147.47
AM Nayar,Deccan Chargers,99,70,6,141.43
AM Nayar,Delhi Daredevils,42,54,5,77.78
AM Nayar,Kings XI Punjab,90,83,6,108.43
AM Nayar,Kolkata Knight Riders,13,18,3,72.22
AM Nayar,Mumbai Indians,31,30,3,103.33
AM Nayar,Pune Warriors,35,45,2,77.78
AM Nayar,Rajasthan Royals,92,70,6,131.43
AM Nayar,Royal Challengers Bengaluru,93,85,8,109.41
AM Nayar,Sunrisers Hyderabad,23,19,3,121.05
AM Rahane,Chennai Super Kings,413,335,19,123.28
AM Rahane,Deccan Chargers,50,45,3,111.11
AM Rahane,Delhi Capitals,283,193,8,146.63
AM Rahane,Delhi Daredevils,677,520,16,130.19
AM Rahane,Gujarat Lions,78,69,4,113.04
AM Rahane,Gujarat Titans,121,91,7,132.97
AM Rahane,Kings XI Punjab,455,397,17,114.61
AM Rahane,Kochi Tuskers Kerala,8,9,1,88.89
AM Rahane,Kolkata Knight Riders,564,441,22,127.89
AM Rahane,Lucknow Super Giants,149,101,5,147.52
AM Rahane,Mumbai Indians,810,631,28,128.37
AM Rahane,Pune Warriors,173,134,5,129.1
AM Rahane,Punjab Kings,75,65,5,115.38
AM Rahane,Rajasthan Royals,107,97,8,110.31
AM Rahane,Royal Challengers Bengaluru,820,609,25,134.65
AM Rahane,Sunrisers Hyderabad,582,532,24,109.4
AN Ahmed,Chennai Super Kings,8,8,2,100.0
