Batter,Kind,count
BCJ Cutting,stumped,1
BE Hendricks,bowled,1
BJ Haddin,caught,1
BJ Hodge,bowled,9
BJ Hodge,caught,23
BJ Hodge,lbw,6
BJ Hodge,run out,2
BJ Hodge,stumped,2
BJ Rohrer,bowled,4
BJ Rohrer,caught,3
BKG Mendis,hit wicket,1
BMAJ Mendis,caught,1
BMAJ Mendis,caught and bowled,1
BMAJ Mendis,run out,1
BR Dunk,bowled,1
BR Dunk,caught,2
BR Sharath,caught,1
Basil Thampi,bowled,1
Bipul Sharma,bowled,1
Bipul Sharma,caught,4
Bipul Sharma,run out,3
C Bosch,caught,2
C Bosch,run out,1
C Connolly,bowled,3
C Connolly,caught,8
C Green,bowled,10
C Green,caught,14
C Green,caught and bowled,1
C Green,run out,1
C Green,stumped,1
C Madan,caught,1
C Munro,bowled,2
C Munro,caught,5
C Munro,lbw,2
C Munro,run out,3
C Nanda,run out,1
C Sakariya,bowled,1
C Sakariya,caught,3
C Sakariya,caught and bowled,1
C Sakariya,run out,1
C de Grandhomme,bowled,3
C de Grandhomme,caught,9
C de Grandhomme,lbw,1
C de Grandhomme,run out,2
C de Grandhomme,stumped,1
CA Ingram,bowled,2
CA Ingram,caught,7
CA Ingram,lbw,2
CA Ingram,run out,1
CA Lynn,bowled,9
CA Lynn,caught,21
CA Lynn,caught and bowled,4
CA Lynn,lbw,3
CA Lynn,run out,2
CA Pujara,bowled,4
CA Pujara,caught,12
CA Pujara,lbw,1
CA Pujara,run out,2
CH Gayle,bowled,25
CH Gayle,caught,82
CH Gayle,caught and bowled,4
CH Gayle,lbw,10
CH Gayle,run out,2
CH Gayle,stumped,3
CH Morris,bowled,6
CH Morris,caught,15
CH Morris,caught and bowled,1
CH Morris,lbw,2
CH Morris,run out,3
CH Morris,stumped,1
CJ Anderson,bowled,4
CJ Anderson,caught,11
CJ Anderson,lbw,1
CJ Anderson,run out,3
CJ Anderson,stumped,3
CJ Ferguson,caught,1
CJ Ferguson,caught and bowled,2
CJ Ferguson,lbw,1
CJ Ferguson,run out,1
CJ Ferguson,stumped,1
CJ Jordan,bowled,1
CJ Jordan,caught,6
CJ Jordan,caught and bowled,1
CJ Jordan,run out,2
CJ McKay,caught,1
CK Kapugedera,caught,3
CK Langeveldt,bowled,2
CL White,bowled,4
CL White,caught,22
CL White,caught and bowled,3
CL White,lbw,1
CL White,run out,5
CL White,stumped,1
CM Gautam,caught,7
CM Gautam,lbw,1
CM Gautam,run out,1
CM Gautam,stumped,1
CR Brathwaite,bowled,1
CR Brathwaite,caught,9
CR Brathwaite,caught and bowled,1
CR Brathwaite,lbw,1
CR Brathwaite,run out,1
CR Woakes,caught,4
CR Woakes,run out,1
CR Woakes,stumped,1
CV Varun,bowled,2
CV Varun,caught,1
CV Varun,run out,3
D Brevis,bowled,5
D Brevis,caught,15
D Brevis,caught and bowled,1
D Brevis,lbw,2
D Brevis,stumped,1
D Ferreira,bowled,2
D Ferreira,caught,7
D Ferreira,caught and bowled,1
D Ferreira,lbw,1
D Ferreira,run out,1
D Kalyankrishna,caught,1
D Padikkal,bowled,24
D Padikkal,caught,54
D Padikkal,caught and bowled,2
D Padikkal,lbw,4
D Padikkal,run out,1
D Pretorius,caught,2
D Pretorius,lbw,2
D Salunkhe,caught and bowled,1
D Salunkhe,run out,1
D Wiese,caught,4
D Wiese,lbw,1
D du Preez,caught,1
DA Miller,bowled,20
DA Miller,caught,58
DA Miller,caught and bowled,1
DA Miller,lbw,8
DA Miller,run out,3
DA Miller,stumped,3
DA Warner,bowled,30
DA Warner,caught,105
DA Warner,caught and bowled,4
DA Warner,hit wicket,1
DA Warner,lbw,9
DA Warner,run out,10
DA Warner,stumped,5
DB Das,bowled,4
DB Das,caught,4
DB Das,caught and bowled,1
DB Das,lbw,3
DB Das,run out,2
DB Ravi Teja,bowled,5
DB Ravi Teja,caught,9
DB Ravi Teja,caught and bowled,1
DB Ravi Teja,lbw,2
DB Ravi Teja,run out,1
DB Ravi Teja,stumped,1
DE Bollinger,caught,1
DG Nalkande,caught,1
DG Nalkande,run out,1
DH Yagnik,bowled,4
DH Yagnik,caught,3
DH Yagnik,caught and bowled,2
DH Yagnik,run out,1
DJ Bravo,bowled,12
DJ Bravo,caught,44
DJ Bravo,caught and bowled,4
DJ Bravo,lbw,6
DJ Bravo,run out,2
DJ Bravo,stumped,1
DJ Harris,caught,3
DJ Harris,run out,1
DJ Hooda,bowled,8
DJ Hooda,caught,52
DJ Hooda,caught and bowled,3
DJ Hooda,hit wicket,1
DJ Hooda,lbw,6
DJ Hooda,run out,10
DJ Hooda,stumped,5
DJ Hussey,bowled,9
DJ Hussey,caught,32
DJ Hussey,lbw,1
DJ Hussey,run out,6
DJ Hussey,stumped,1
DJ Jacobs,bowled,6
DJ Jacobs,caught,1
DJ Malan,bowled,1
DJ Mitchell,bowled,1
DJ Mitchell,caught,9
DJ Mitchell,caught and bowled,1
DJ Mitchell,lbw,2
DJ Muthuswami,run out,1
DJ Thornely,bowled,1
DJ Thornely,lbw,1
DJ Willey,bowled,1
DJ Willey,caught,1
DJG Sammy,bowled,1
DJG Sammy,caught,10
DJG Sammy,lbw,2
DJG Sammy,run out,1
DJG Sammy,stumped,1
DJM Short,bowled,1
DJM Short,caught,4
DJM Short,run out,2
DL Chahar,caught,7
DL Chahar,lbw,1
DL Chahar,stumped,2
DL Vettori,bowled,4
DL Vettori,caught,1
DL Vettori,caught and bowled,1
DL Vettori,run out,2
DNT Zoysa,bowled,1
DP Conway,bowled,5
DP Conway,caught,14
DP Conway,lbw,5
DP Nannes,bowled,1
DPMD Jayawardene,bowled,6
DPMD Jayawardene,caught,39
DPMD Jayawardene,caught and bowled,2
DPMD Jayawardene,lbw,6
DPMD Jayawardene,run out,8
DPMD Jayawardene,stumped,3
DR Martyn,bowled,1
DR Sams,bowled,1
DR Sams,caught,6
DR Sams,lbw,2
DR Shorey,caught,2
DR Smith,bowled,18
DR Smith,caught,48
DR Smith,caught and bowled,1
DR Smith,lbw,12
DR Smith,run out,5
DS Kulkarni,bowled,3
DS Kulkarni,caught and bowled,1
DS Kulkarni,lbw,1
DS Kulkarni,run out,4
DS Lehmann,lbw,2
DS Rathi,bowled,1
DT Christian,bowled,5
DT Christian,caught,17
DT Christian,lbw,4
DT Christian,run out,4
DT Christian,stumped,1
DT Patil,caught,1
DT Patil,run out,1
DV Malewar,caught,1
DV Malewar,lbw,1
DW Steyn,bowled,8
DW Steyn,caught,8
DW Steyn,caught and bowled,1
DW Steyn,lbw,2
DW Steyn,run out,3
Dhruv Jurel,bowled,7
Dhruv Jurel,caught,22
Dhruv Jurel,caught and bowled,1
Dhruv Jurel,lbw,4
Dhruv Jurel,run out,3
Dhruv Jurel,stumped,1
E Lewis,bowled,3
E Lewis,caught,17
E Lewis,lbw,3
E Lewis,stumped,1
E Malinga,caught,1
EJG Morgan,bowled,8
EJG Morgan,caught,42
EJG Morgan,lbw,3
EJG Morgan,run out,8
EJG Morgan,stumped,1
ER Dwivedi,caught,2
F Behardien,caught,2
F du Plessis,bowled,15
F du Plessis,caught,97
F du Plessis,caught and bowled,3
F du Plessis,lbw,2
F du Plessis,run out,12
F du Plessis,stumped,7
FA Allen,caught,2
FH Allen,bowled,2
FH Allen,caught,7
FH Allen,caught and bowled,1
FH Edwards,bowled,1
FY Fazal,caught,4
FY Fazal,lbw,2
FY Fazal,run out,4
G Coetzee,bowled,2
G Coetzee,caught,3
G Coetzee,caught and bowled,1
G Gambhir,bowled,27
G Gambhir,caught,80
G Gambhir,caught and bowled,4
G Gambhir,lbw,7
G Gambhir,run out,16
G Gambhir,stumped,2
GB Hogg,caught,2
GB Hogg,run out,1
GC Smith,bowled,2
GC Smith,caught,20
GC Smith,caught and bowled,1
GC Smith,lbw,1
GC Smith,stumped,2
GC Viljoen,caught,2
GD McGrath,caught,1
GD Phillips,bowled,3
GD Phillips,caught,7
GD Phillips,caught and bowled,1
GF Linde,caught,3
GH Vihari,bowled,1
GH Vihari,caught,17
GH Vihari,run out,1
GH Vihari,stumped,1
GHS Garton,bowled,1
GJ Bailey,bowled,4
GJ Bailey,caught,16
GJ Bailey,lbw,1
GJ Bailey,run out,4
GJ Bailey,stumped,2
GJ Maxwell,bowled,26
GJ Maxwell,caught,76
GJ Maxwell,caught and bowled,3
GJ Maxwell,lbw,8
GJ Maxwell,run out,5
GR Napier,caught,1
Gulbadin Naib,caught,1
Gurkeerat Singh,bowled,4
Gurkeerat Singh,caught,12
Gurkeerat Singh,caught and bowled,2
Gurkeerat Singh,lbw,2
Gurkeerat Singh,run out,2
Gurkeerat Singh,stumped,2
H Das,run out,1
H Klaasen,bowled,12
H Klaasen,caught,35
H Klaasen,lbw,1
H Klaasen,run out,1
H Klaasen,stumped,1
HC Brook,bowled,4
HC Brook,caught,3
HC Brook,lbw,1
HC Brook,stumped,1
HE van der Dussen,bowled,1
HE van der Dussen,caught,1
HH Gibbs,bowled,7
HH Gibbs,caught,16
HH Gibbs,caught and bowled,1
HH Gibbs,lbw,3
HH Gibbs,run out,3
HH Gibbs,stumped,2
HH Pandya,bowled,8
HH Pandya,caught,86
HH Pandya,caught and bowled,1
HH Pandya,hit wicket,1
HH Pandya,lbw,6
HH Pandya,run out,4
HH Pandya,stumped,1
HM Amla,caught,8
HM Amla,caught and bowled,1
HM Amla,lbw,3
HM Amla,run out,1
HR Shokeen,bowled,1
HR Shokeen,caught,2
HV Patel,bowled,8
HV Patel,caught,17
HV Patel,caught and bowled,1
HV Patel,lbw,1
HV Patel,run out,5
Harbhajan Singh,bowled,7
Harbhajan Singh,caught,33
Harbhajan Singh,lbw,6
Harbhajan Singh,run out,7
Harmeet Singh,caught,1
Harmeet Singh,lbw,1
Harmeet Singh,run out,2
Harpreet Brar,bowled,5
Harpreet Brar,caught,5
Harpreet Brar,run out,2
Harpreet Singh,bowled,1
Harpreet Singh,caught,2
Harpreet Singh,caught and bowled,2
Harpreet Singh,run out,2
Harsh Dubey,bowled,1
Harsh Dubey,caught,1
Harshit Rana,bowled,1
Harshit Rana,caught,2
Harshit Rana,caught and bowled,1
Harshit Rana,run out,2
Himmat Singh,bowled,2
Himmat Singh,caught,1
I Sharma,bowled,2
I Sharma,caught,2
I Sharma,caught and bowled,1
I Sharma,run out,1
I Udana,caught,3
IC Pandey,bowled,1
IK Pathan,bowled,8
IK Pathan,caught,31
IK Pathan,caught and bowled,1
IK Pathan,lbw,1
IK Pathan,run out,9
IK Pathan,stumped,3
IR Jaggi,bowled,1
IR Jaggi,caught,4
IS Sodhi,caught,2
Imran Tahir,bowled,1
Imran Tahir,caught,2
Imran Tahir,run out,1
Iqbal Abdulla,caught,1
Iqbal Abdulla,run out,1
Ishan Kishan,bowled,15
Ishan Kishan,caught,89
Ishan Kishan,caught and bowled,2
Ishan Kishan,lbw,3
Ishan Kishan,run out,7
Ishan Kishan,stumped,2
J Arunkumar,caught,2
J Arunkumar,run out,1
J Botha,bowled,4
J Botha,caught,9
J Botha,caught and bowled,2
J Botha,lbw,3
J Botha,run out,2
J Fraser-McGurk,caught,13
J Fraser-McGurk,caught and bowled,1
J Fraser-McGurk,run out,1
J Overton,caught,4
J Overton,run out,1
J Suchith,caught,2
J Suchith,run out,1
J Suchith,stumped,1
J Syed Mohammad,caught,2
J Theron,caught,1
J Theron,run out,1
J Yadav,caught,1
J Yadav,caught and bowled,1
J Yadav,run out,2
JA Morkel,bowled,10
JA Morkel,caught,25
JA Morkel,caught and bowled,1
JA Morkel,run out,4
JA Richardson,bowled,1
JA Richardson,caught,2
JC Archer,bowled,2
JC Archer,caught,18
JC Archer,caught and bowled,1
JC Archer,lbw,1
JC Archer,run out,3
JC Buttler,bowled,27
JC Buttler,caught,69
JC Buttler,caught and bowled,3
