Batter,Kind,count
WP Saha,lbw,6
WP Saha,run out,9
WP Saha,stumped,7
WPUJC Vaas,bowled,2
WPUJC Vaas,caught,4
WPUJC Vaas,run out,2
Washington Sundar,bowled,5
Washington Sundar,caught,31
Washington Sundar,caught and bowled,2
Washington Sundar,lbw,1
Washington Sundar,run out,4
X Thalaivan Sargunam,caught and bowled,1
XC Bartlett,bowled,1
XC Bartlett,run out,1
Y Gnaneswara Rao,caught and bowled,1
Y Nagar,bowled,3
Y Nagar,caught,8
Y Nagar,lbw,2
Y Nagar,run out,1
Y Venugopal Rao,bowled,8
Y Venugopal Rao,caught,24
Y Venugopal Rao,lbw,1
Y Venugopal Rao,run out,11
YBK Jaiswal,bowled,12
YBK Jaiswal,caught,56
YBK Jaiswal,caught and bowled,6
YBK Jaiswal,lbw,2
YBK Jaiswal,run out,2
YK Pathan,bowled,11
YK Pathan,caught,76
YK Pathan,caught and bowled,4
YK Pathan,lbw,5
YK Pathan,obstructing the field,1
YK Pathan,run out,11
YK Pathan,stumped,2
YS Chahal,caught,4
YS Chahal,lbw,1
YS Chahal,run out,2
YV Dhull,caught,2
YV Dhull,lbw,1
YV Takawale,bowled,2
YV Takawale,caught,4
YV Takawale,lbw,2
Yash Dayal,caught,1
Yash Dayal,caught and bowled,1
Yash Dayal,lbw,1
Yashpal Singh,caught,4
Younis Khan,bowled,1
Yudhvir Singh,caught,3
Yudhvir Singh,run out,1
Yuvraj Singh,bowled,10
Yuvraj Singh,caught,84
Yuvraj Singh,caught and bowled,2
Yuvraj Singh,hit wicket,1
Yuvraj Singh,lbw,5
Yuvraj Singh,run out,6
Yuvraj Singh,stumped,3
Z Khan,bowled,5
Z Khan,caught,6
Z Khan,caught and bowled,1
Z Khan,run out,2
