Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
AD Russell,2015,Middle,230,118,25,13,194.92,32.2
AD Russell,2015,Powerplay,23,10,2,2,230.0,40.0
AD Russell,2016,Death,89,49,7,6,181.63,26.53
AD Russell,2016,Middle,99,65,3,9,152.31,18.46
AD Russell,2018,Death,158,71,11,16,222.54,38.03
AD Russell,2018,Middle,158,99,6,15,159.6,21.21
AD Russell,2019,Death,299,115,17,33,260.0,43.48
AD Russell,2019,Middle,205,131,14,18,156.49,24.43
AD Russell,2019,Powerplay,4,3,1,0,133.33,33.33
AD Russell,2020,Death,5,3,1,0,166.67,33.33
AD Russell,2020,Middle,110,76,8,9,144.74,22.37
AD Russell,2021,Death,74,44,6,6,168.18,27.27
AD Russell,2021,Middle,94,69,6,7,136.23,18.84
AD Russell,2021,Powerplay,14,4,2,1,350.0,75.0
AD Russell,2022,Death,114,57,9,9,200.0,31.58
AD Russell,2022,Middle,216,132,8,23,163.64,23.48
AD Russell,2023,Death,115,69,8,10,166.67,26.09
AD Russell,2023,Middle,111,86,5,8,129.07,15.12
AD Russell,2024,Death,88,44,8,6,200.0,31.82
AD Russell,2024,Middle,126,73,10,10,172.6,27.4
AD Russell,2025,Death,69,29,5,7,237.93,41.38
AD Russell,2025,Middle,98,73,11,7,134.25,24.66
AF Milne,2017,Death,2,4,0,0,50.0,0.0
AF Milne,2017,Middle,5,8,0,0,62.5,0.0
AF Milne,2021,Death,13,13,0,1,100.0,7.69
AF Milne,2021,Middle,3,4,0,0,75.0,0.0
AF Milne,2026,Death,2,2,0,0,100.0,0.0
AG Murtaza,2011,Death,2,5,0,0,40.0,0.0
AG Murtaza,2012,Death,3,5,0,0,60.0,0.0
AG Murtaza,2013,Death,5,4,1,0,125.0,25.0
AG Paunikar,2010,Powerplay,0,1,0,0,0.0,0.0
AG Paunikar,2011,Powerplay,48,54,9,0,88.89,16.67
AJ Finch,2010,Middle,21,21,0,1,100.0,4.76
AJ Finch,2011,Death,22,12,1,2,183.33,25.0
AJ Finch,2011,Middle,7,9,0,0,77.78,0.0
AJ Finch,2011,Powerplay,18,25,2,1,72.0,12.0
AJ Finch,2012,Middle,8,11,0,0,72.73,0.0
AJ Finch,2012,Powerplay,47,40,8,0,117.5,20.0
AJ Finch,2013,Death,1,5,0,0,20.0,0.0
AJ Finch,2013,Middle,217,148,18,10,146.62,18.92
AJ Finch,2013,Powerplay,237,182,36,6,130.22,23.08
AJ Finch,2014,Death,55,37,4,3,148.65,18.92
AJ Finch,2014,Middle,112,94,9,3,119.15,12.77
AJ Finch,2014,Powerplay,141,130,18,3,108.46,16.15
AJ Finch,2015,Powerplay,23,33,4,0,69.7,12.12
AJ Finch,2016,Death,53,37,4,1,143.24,13.51
AJ Finch,2016,Middle,236,167,22,10,141.32,19.16
AJ Finch,2016,Powerplay,103,93,19,0,110.75,20.43
AJ Finch,2017,Death,58,27,7,3,214.81,37.04
AJ Finch,2017,Middle,164,107,12,10,153.27,20.56
AJ Finch,2017,Powerplay,78,48,6,6,162.5,25.0
AJ Finch,2018,Death,14,7,1,1,200.0,28.57
AJ Finch,2018,Middle,98,72,3,6,136.11,12.5
AJ Finch,2018,Powerplay,22,21,2,1,104.76,14.29
AJ Finch,2020,Middle,79,70,7,2,112.86,12.86
AJ Finch,2020,Powerplay,183,169,21,5,108.28,15.38
AJ Finch,2022,Middle,35,12,6,1,291.67,58.33
AJ Finch,2022,Powerplay,51,49,4,2,104.08,12.24
AJ Hosein,2023,Death,16,10,1,1,160.0,20.0
AJ Hosein,2026,Death,5,3,0,0,166.67,0.0
AJ Turner,2019,Death,3,10,0,0,30.0,0.0
AJ Turner,2024,Death,1,4,0,0,25.0,0.0
AJ Turner,2024,Middle,20,14,0,2,142.86,14.29
AJ Tye,2017,Death,35,18,3,2,194.44,27.78
AJ Tye,2017,Middle,18,11,1,1,163.64,18.18
AJ Tye,2018,Death,19,29,1,0,65.52,3.45
AJ Tye,2018,Middle,13,9,1,1,144.44,22.22
AJ Tye,2019,Death,0,2,0,0,0.0,0.0
AJ Tye,2020,Middle,6,6,0,1,100.0,16.67
AK Markram,2021,Death,17,13,1,1,130.77,15.38
AK Markram,2021,Middle,128,102,11,3,125.49,13.73
AK Markram,2021,Powerplay,1,4,0,0,25.0,0.0
AK Markram,2022,Death,90,43,6,6,209.3,27.91
AK Markram,2022,Middle,267,198,17,12,134.85,14.65
AK Markram,2022,Powerplay,24,32,2,1,75.0,9.38
AK Markram,2023,Death,35,18,5,1,194.44,33.33
AK Markram,2023,Middle,195,149,12,7,130.87,12.75
AK Markram,2023,Powerplay,18,30,1,0,60.0,3.33
AK Markram,2024,Death,31,15,2,2,206.67,26.67
AK Markram,2024,Middle,132,115,6,2,114.78,6.96
AK Markram,2024,Powerplay,57,45,10,0,126.67,22.22
AK Markram,2025,Death,4,5,0,0,80.0,0.0
AK Markram,2025,Middle,169,117,7,10,144.44,14.53
AK Markram,2025,Powerplay,266,176,31,11,151.14,23.86
AK Markram,2026,Death,34,20,3,2,170.0,25.0
AK Markram,2026,Middle,76,58,4,3,131.03,12.07
AK Markram,2026,Powerplay,120,88,13,6,136.36,21.59
AL Menaria,2011,Death,15,14,2,0,107.14,14.29
AL Menaria,2011,Middle,157,131,8,9,119.85,12.98
AL Menaria,2011,Powerplay,8,7,0,1,114.29,14.29
AL Menaria,2012,Death,57,44,6,2,129.55,18.18
AL Menaria,2012,Middle,157,155,8,5,101.29,8.39
AL Menaria,2012,Powerplay,0,1,0,0,0.0,0.0
AL Menaria,2013,Death,1,2,0,0,50.0,0.0
AM Ghazanfar,2026,Death,2,3,0,0,66.67,0.0
AM Nayar,2008,Death,64,29,7,4,220.69,37.93
AM Nayar,2008,Middle,141,108,9,5,130.56,12.96
AM Nayar,2009,Death,91,48,8,5,189.58,27.08
AM Nayar,2009,Middle,100,102,6,2,98.04,7.84
AM Nayar,2009,Powerplay,0,1,0,0,0.0,0.0
AM Nayar,2010,Death,9,7,1,0,128.57,14.29
AM Nayar,2010,Middle,30,27,1,2,111.11,11.11
AM Nayar,2010,Powerplay,19,17,2,0,111.76,11.76
AM Nayar,2011,Death,28,19,5,0,147.37,26.32
AM Nayar,2011,Middle,22,33,2,0,66.67,6.06
AM Nayar,2011,Powerplay,10,14,2,0,71.43,14.29
AM Nayar,2012,Death,7,8,0,0,87.5,0.0
AM Nayar,2012,Middle,35,32,2,1,109.38,9.38
AM Nayar,2012,Powerplay,3,9,0,0,33.33,0.0
AM Nayar,2013,Death,22,28,2,0,78.57,7.14
AM Nayar,2013,Middle,44,45,3,0,97.78,6.67
AM Nayar,2014,Middle,11,16,1,0,68.75,6.25
AM Nayar,2014,Powerplay,28,30,3,1,93.33,13.33
AM Rahane,2008,Powerplay,4,17,1,0,23.53,5.88
AM Rahane,2009,Death,65,41,7,2,158.54,21.95
AM Rahane,2009,Middle,59,51,5,0,115.69,9.8
AM Rahane,2009,Powerplay,19,29,0,1,65.52,3.45
AM Rahane,2011,Death,18,16,2,0,112.5,12.5
AM Rahane,2011,Middle,79,63,6,2,125.4,12.7
AM Rahane,2011,Powerplay,23,19,4,0,121.05,21.05
AM Rahane,2012,Death,77,41,10,3,187.8,31.71
AM Rahane,2012,Middle,236,179,23,4,131.84,15.08
AM Rahane,2012,Powerplay,247,213,40,3,115.96,20.19
AM Rahane,2013,Death,51,33,5,2,154.55,21.21
AM Rahane,2013,Middle,224,210,14,4,106.67,8.57
AM Rahane,2013,Powerplay,213,215,23,5,99.07,13.02
AM Rahane,2014,Death,20,14,1,1,142.86,14.29
AM Rahane,2014,Middle,125,107,10,1,116.82,10.28
AM Rahane,2014,Powerplay,194,170,27,1,114.12,16.47
