Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
AG Murtaza,Pune Warriors,18,24,4.0,4.5,2
AG Murtaza,Rajasthan Royals,61,48,8.0,7.62,1
AG Murtaza,Royal Challengers Bengaluru,70,36,6.0,11.67,0
AJ Finch,Chennai Super Kings,9,6,1.0,9.0,0
AJ Finch,Kolkata Knight Riders,5,7,1.1666666666666667,4.29,0
AJ Finch,Mumbai Indians,23,24,4.0,5.75,1
AJ Finch,Royal Challengers Bengaluru,29,6,1.0,29.0,0
AJ Hosein,Delhi Capitals,76,60,10.0,7.6,2
AJ Hosein,Gujarat Titans,46,22,3.6666666666666665,12.55,1
AJ Hosein,Kolkata Knight Riders,26,24,4.0,6.5,1
AJ Hosein,Lucknow Super Giants,49,24,4.0,12.25,0
AJ Hosein,Mumbai Indians,17,24,4.0,4.25,4
AJ Hosein,Sunrisers Hyderabad,20,18,3.0,6.67,1
AJ Tye,Chennai Super Kings,201,114,19.0,10.58,4
AJ Tye,Delhi Capitals,74,43,7.166666666666667,10.33,1
AJ Tye,Delhi Daredevils,59,48,8.0,7.38,2
AJ Tye,Kings XI Punjab,35,24,4.0,8.75,2
AJ Tye,Kolkata Knight Riders,142,90,15.0,9.47,8
AJ Tye,Mumbai Indians,129,102,17.0,7.59,8
AJ Tye,Rajasthan Royals,58,48,8.0,7.25,6
AJ Tye,Rising Pune Supergiants,16,24,4.0,4.0,5
AJ Tye,Royal Challengers Bengaluru,145,120,20.0,7.25,4
AJ Tye,Sunrisers Hyderabad,89,72,12.0,7.42,2
AK Markram,Chennai Super Kings,92,56,9.333333333333334,9.86,2
AK Markram,Delhi Capitals,60,36,6.0,10.0,2
AK Markram,Gujarat Titans,51,28,4.666666666666667,10.93,0
AK Markram,Kolkata Knight Riders,38,36,6.0,6.33,1
AK Markram,Lucknow Super Giants,14,12,2.0,7.0,0
AK Markram,Mumbai Indians,18,19,3.1666666666666665,5.68,0
AK Markram,Punjab Kings,31,6,1.0,31.0,0
AK Markram,Rajasthan Royals,27,18,3.0,9.0,1
AK Markram,Royal Challengers Bengaluru,5,6,1.0,5.0,0
AK Markram,Sunrisers Hyderabad,14,6,1.0,14.0,0
AL Menaria,Chennai Super Kings,38,30,5.0,7.6,0
AL Menaria,Deccan Chargers,8,6,1.0,8.0,0
AL Menaria,Delhi Daredevils,10,2,0.3333333333333333,30.0,0
AL Menaria,Kings XI Punjab,7,6,1.0,7.0,0
AL Menaria,Kolkata Knight Riders,19,18,3.0,6.33,1
AL Menaria,Mumbai Indians,32,30,5.0,6.4,2
AL Menaria,Pune Warriors,10,6,1.0,10.0,0
AL Menaria,Royal Challengers Bengaluru,16,12,2.0,8.0,0
AM Ghazanfar,Chennai Super Kings,65,48,8.0,8.12,3
AM Ghazanfar,Gujarat Titans,16,17,2.8333333333333335,5.65,2
AM Ghazanfar,Kolkata Knight Riders,75,48,8.0,9.38,1
AM Ghazanfar,Lucknow Super Giants,50,24,4.0,12.5,1
AM Ghazanfar,Punjab Kings,31,24,4.0,7.75,2
AM Ghazanfar,Rajasthan Royals,62,30,5.0,12.4,3
AM Ghazanfar,Royal Challengers Bengaluru,33,18,3.0,11.0,1
AM Ghazanfar,Sunrisers Hyderabad,51,24,4.0,12.75,2
AM Nayar,Chennai Super Kings,80,54,9.0,8.89,1
AM Nayar,Deccan Chargers,49,30,5.0,9.8,1
AM Nayar,Delhi Daredevils,61,36,6.0,10.17,2
AM Nayar,Kolkata Knight Riders,32,36,6.0,5.33,4
AM Nayar,Pune Warriors,25,19,3.1666666666666665,7.89,1
AM Nayar,Rajasthan Royals,7,12,2.0,3.5,0
AM Nayar,Royal Challengers Bengaluru,57,42,7.0,8.14,0
AM Rahane,Kings XI Punjab,5,6,1.0,5.0,1
AM Salvi,Chennai Super Kings,36,18,3.0,12.0,0
AM Salvi,Deccan Chargers,25,24,4.0,6.25,1
AM Salvi,Kings XI Punjab,56,36,6.0,9.33,3
AM Salvi,Mumbai Indians,25,24,4.0,6.25,1
AM Salvi,Rajasthan Royals,18,24,4.0,4.5,2
AM Salvi,Royal Challengers Bengaluru,30,24,4.0,7.5,0
AN Ahmed,Chennai Super Kings,72,60,10.0,7.2,1
AN Ahmed,Deccan Chargers,26,24,4.0,6.5,0
AN Ahmed,Delhi Daredevils,34,24,4.0,8.5,1
AN Ahmed,Kings XI Punjab,22,18,3.0,7.33,0
AN Ahmed,Kolkata Knight Riders,111,90,15.0,7.4,5
AN Ahmed,Mumbai Indians,58,24,4.0,14.5,0
AN Ahmed,Pune Warriors,40,42,7.0,5.71,4
AN Ahmed,Royal Challengers Bengaluru,39,24,4.0,9.75,1
AN Ahmed,Sunrisers Hyderabad,49,38,6.333333333333333,7.74,0
AP Dole,Deccan Chargers,40,24,4.0,10.0,2
AP Dole,Kings XI Punjab,34,24,4.0,8.5,2
AP Dole,Mumbai Indians,31,18,3.0,10.33,1
AR Patel,Chennai Super Kings,493,426,71.0,6.94,13
AR Patel,Delhi Daredevils,240,196,32.666666666666664,7.35,9
AR Patel,Gujarat Lions,101,78,13.0,7.77,6
AR Patel,Gujarat Titans,188,138,23.0,8.17,2
AR Patel,Kings XI Punjab,63,66,11.0,5.73,4
AR Patel,Kolkata Knight Riders,599,504,84.0,7.13,19
AR Patel,Lucknow Super Giants,182,150,25.0,7.28,3
